x_RepliconName	RepliconAccession	Start	Stop	Strand	GeneID	sce_ORFid	Locus	LocusTag	ProteinProduct	Length	ProteinName	oldGeneId	replacingGeneIds	replacingSceORFs
1	AP012213.1	4051	8025	+	-		TY2B-GR2	KLMA_10001	BAO37623.1	1324	RVT_2 super family			
1	AP012213.1	8351	8713	+	-		-	KLMA_10002	BAO37624.1	120	hypothetical protein KLMA_10002			
1	AP012213.1	8963	9364	+	-		-	KLMA_10003	BAO37625.1	133	hypothetical protein KLMA_10003			
1	AP012213.1	10040	10720	+	-		Nqo2	KLMA_10004	BAO37626.1	226	ribosyldihydronicotinamide dehydrogenase			
1	AP012213.1	10967	12631	-	-	YNR056C	BIO5	KLMA_10005	BAO37627.1	554	7-keto 8-aminopelargonic acid transporter	gi_574139832_dbj_BAO37627.1_	BIO5_KLMA_10005	YNR056C
1	AP012213.1	12937	13623	-	-	YNR057C	BIO4	KLMA_10006	BAO37628.1	228	dethiobiotin synthetase	gi_574139833_dbj_BAO37628.1_	BIO4_KLMA_10006	YNR057C
1	AP012213.1	14146	15615	+	-	YNR058W	BIO3	KLMA_10007	BAO37629.1	489	adenosylmethionine-8-amino-7-oxononanoate aminotransferase	gi_574139834_dbj_BAO37629.1_	BIO3_KLMA_10007	YNR058W
1	AP012213.1	16479	18323	+	-	YHL047C	ARN2	KLMA_10008	BAO37630.1	614	siderophore iron transporter ARN2	gi_574139835_dbj_BAO37630.1_	ARN2_KLMA_10008	YHL047C
1	AP012213.1	19993	21525	-	-		-	KLMA_10009	BAO37631.1	510	drug resistance protein YOR378W	gi_574139836_dbj_BAO37631.1_	KLMA_10009	KLMA_10009
1	AP012213.1	22846	24705	-	-	YHL047C	ARN2	KLMA_10010	BAO37632.1	619	siderophore iron transporter ARN2	gi_574139837_dbj_BAO37632.1_	ARN2_KLMA_10010	YHL047C
1	AP012213.1	26431	27972	-	-	YCR028C	FEN2	KLMA_10011	BAO37633.1	513	probable transporter SEO1			
